id,students,teachers,level,geoid
10027002490,267,17,M,010030116011
10027002492,1068,59,PEM,010030107031
10027002493,216,18,EM,010030108003
10027002544,509,29,EM,010030107032
10030000074,317,15,MH,010059502003
10030001478,135,8,PE,010059503001
10030001641,263,14,EM,010059503001
10033000082,286,16,E,010730142041
10033000084,342,20,PE,010730103022
10033000086,674,27,M,010730141053
10033000087,850,37,H,010730141053
10033000088,525,30,PE,010730104011
10033000090,315,14,E,010730104021
10033001479,254,12,PE,010730101002
10036000092,471,27,H,010070100046
10036000094,425,25,EM,010070100032
10036000095,601,37,PE,010070100045
10036000096,235,11,PEM,010070100034
10036000098,278,16,PE,010070100012
10036000099,412,25,H,010070100012
10036001426,376,23,EM,010070100012
10036001480,300,17,PE,010070100023
10039000103,328,20,PE,010730047021
10039000106,405,19,PE,010730020002
10039000107,307,16,PE,010730036004
10039000112,447,27,PE,010730038023
10039000113,633,32,PEM,010730053021
10039000119,291,17,PE,010730045001
10039000127,389,21,PE,010730023032
10039000133,337,18,M,010730038021
10039000136,336,22,PE,010730040002
10039000139,633,34,PEM,010730007003
10039000140,399,19,M,010730059032
10039000141,1147,60,MH,010730059082
10039000142,333,16,PEM,010730004005
10039000156,454,27,PE,010730031005
10039000161,249,14,PE,010730016004
10039000164,784,39,MH,010730033002
10039000165,826,36,H,010730029001
10039000174,203,14,PE,010730039001
10039000175,210,14,M,010730056002
10039000176,660,40,H,010730049022
10039000179,344,19,PE,010730001005
10039000184,426,17,M,010730059091
10039000187,470,28,PE,010730014002
10039000190,567,30,PEM,010730042001
10039000191,502,26,M,010730131004
10039000192,656,40,H,010730131004
10039000196,390,17,M,010730014003
10039000198,738,27,H,010730003001
10039000201,371,22,PE,010730035002
10039001421,513,31,PEM,010730011005
10039001446,509,27,PE,010730059051
10039001468,531,37,H,010730008003
10039001484,731,40,PE,010730050003
10039001762,611,34,PE,010730059104
10039001823,278,17,M,010730021001
10039001878,654,33,PEM,010730027001
10039002185,735,39,PE,010730059082
10039002187,503,25,PE,010730038032
10039002204,433,22,M,010730030011
10039002206,658,34,PEM,010730024001
10039002354,478,26,PE,010730143021
10039002489,374,18,PE,010730057021
10039002553,287,19,EMH,010730008003
10042000101,307,17,E,010090506023
10042000203,636,37,PEMH,010090501013
10042000205,658,34,PEM,010090505001
10042000206,362,19,MH,010090502001
10042000207,566,33,PE,010090506023
10042000208,812,42,MH,010090506023
