# ExaEpi hospital-capacity data -- utilities/build_hospital_data.py
# source: HHS COVID-19 Hospital Capacity by Facility (anag-cw7u): staffed inpatient beds (beds) + staffed adult ICU beds (icu_beds)
# state=US year=2020 level=county week=2020-09-27
# columns: FIPS beds icu_beds n_hospitals
2373
1001 65 6 1
1003 363 32 3
1005 42 5 1
1007 30 0 1
1009 39 6 1
1011 73 0 1
1013 38 5 1
1015 312 22 3
1019 44 0 1
1021 36 6 1
1023 28 0 1
1025 95 0 3
1027 32 4 1
1031 93 6 1
1033 293 24 2
1035 35 0 1
1039 96 13 2
1041 32 0 1
1043 161 11 1
1045 57 5 1
1047 108 10 1
1049 75 12 1
1051 81 5 2
1053 90 14 2
1055 351 61 2
1057 24 0 1
1059 69 12 2
1061 49 0 1
1063 10 0 1
1065 21 0 1
1069 643 77 3
1071 87 10 1
1073 3816 388 11
1077 344 68 1
1079 27 0 1
1081 327 30 1
1083 92 10 1
1089 1214 112 2
1091 58 7 1
1093 64 4 2
1095 178 18 1
1097 1560 188 6
1099 56 8 1
1101 955 100 4
1103 257 19 1
1109 44 8 1
1111 16 0 1
1113 42 8 1
1115 44 5 1
1117 264 32 1
1119 31 0 1
1121 163 16 2
1123 80 6 2
1125 497 68 2
1127 157 12 1
1129 27 0 1
1131 21 0 1
1133 53 4 1
2020 659 58 3
2080 13 0 1
2090 81 13 1
2110 133 0 1
2120 103 9 2
2130 25 6 1
2150 16 0 1
2170 125 14 1
2210 6 0 1
2260 4 0 1
2280 12 0 1
4001 21 0 1
4003 110 20 4
4005 230 0 2
4007 48 8 2
4009 44 6 1
4012 27 0 1
4013 7615 924 37
4015 350 53 4
4017 151 20 2
4019 2162 266 9
4021 197 34 3
4023 25 0 1
4025 107 0 2
4027 233 28 1
5001 318 0 3
5003 36 0 1
5005 200 0 1
5007 525 89 3
5009 64 24 1
5011 17 0 1
5015 24 0 2
5017 10 0 1
5019 20 4 1
5021 14 0 1
5023 12 0 1
5027 25 4 1
5029 25 0 1
5031 375 56 2
5033 7 0 1
5035 22 0 1
5037 20 0 1
5041 43 0 2
5043 49 8 1
5045 191 32 2
5047 19 0 1
5049 25 0 1
5051 389 49 4
5055 129 0 1
5057 22 0 1
5059 41 0 1
5061 12 0 1
5063 160 13 1
5065 4 0 1
5067 52 0 1
5069 176 19 1
5071 30 0 1
5075 25 0 1
5081 25 0 1
5083 38 0 2
5093 28 0 2
5103 14 0 1
5107 40 6 1
5113 72 6 1
5115 110 11 1
5119 2328 340 10
5121 40 0 1
5123 20 0 1
5125 177 16 1
5127 19 0 1
5131 900 82 4
5137 25 0 1
5139 58 11 1
5141 25 0 1
5143 604 150 5
5145 181 17 2
5149 24 0 2
6001 2574 257 13
6005 51 6 1
6007 421 38 3
6009 40 11 1
6011 27 0 1
6013 1249 160 7
6015 52 6 1
6017 121 16 2
6019 1498 147 8
6021 47 0 1
6023 196 16 4
6025 202 22 2
6027 29 4 2
6029 992 138 10
6031 173 28 1
6033 55 9 2
6035 27 0 1
6037 18034 2201 85
6039 80 10 1
6041 279 30 4
6043 10 0 1
6045 128 16 3
6047 227 24 2
6049 12 0 2
6051 17 0 1
6053 616 43 4
6055 194 27 2
6057 107 10 2
6059 4790 536 28
6061 738 82 3
6063 35 0 3
6065 2911 344 17
6067 2279 304 10
6069 25 4 1
6071 3413 409 20
6073 5826 615 19
6075 1873 254 10
6077 1101 132 7
6079 387 43 4
6081 680 76 6
6083 648 99 5
6085 3000 424 8
6087 328 22 3
6089 521 48 5
6093 54 8 2
6095 518 51 4
6097 509 50 7
6099 1041 96 6
6103 54 8 1
6105 25 0 1
6107 488 55 4
6109 84 6 1
6111 1203 113 8
6113 152 14 2
6115 221 24 1
8001 1336 212 5
8005 1141 130 5
8007 11 0 1
8009 23 0 1
8013 645 79 5
8014 40 0 1
8015 14 0 1
8017 12 0 1
8021 6 0 1
8029 49 0 1
8031 1850 163 8
8035 601 72 4
8037 56 0 1
8041 1069 121 4
8043 37 4 1
8045 92 10 2
8049 10 0 1
8051 24 0 1
8055 13 0 1
8059 496 90 3
8061 24 0 1
8063 19 0 1
8067 104 12 2
8069 581 82 6
8071 14 0 1
8073 15 0 1
8075 22 4 1
8077 356 32 3
8081 10 0 1
8083 9 0 1
8085 85 25 1
8087 58 8 2
8089 25 0 1
8095 32 0 2
8097 21 4 1
8099 25 7 1
8101 367 55 2
8103 34 0 2
8105 10 0 1
8107 34 4 1
8117 35 0 1
8119 13 0 1
8123 434 82 2
8125 39 0 2
9001 2113 229 6
9003 2594 310 8
9005 200 42 2
9007 175 24 1
9009 2357 318 7
9011 446 76 2
9013 126 31 2
9015 98 17 2
10001 300 29 1
10003 1707 104 4
10005 291 29 2
11001 2884 355 10
12001 1564 308 3
12003 45 0 1
12005 739 55 3
12009 1960 167 8
12011 5536 432 14
12013 35 0 1
12015 835 50 3
12017 362 40 2
12019 594 54 3
12021 1051 74 2
12023 93 17 1
12027 80 8 1
12031 4195 458 8
12033 1717 135 4
12035 175 18 1
12037 83 0 1
12039 949 0 1
12045 55 0 1
12049 50 0 1
12051 33 4 1
12053 476 54 2
12055 364 31 2
12057 4671 431 11
12059 24 0 1
12061 1498 32 2
12063 122 11 1
12069 1106 104 3
12071 2714 152 6
