# ExaEpi hospital-capacity data -- utilities/build_hospital_data.py
# source: HHS COVID-19 Hospital Capacity by Facility (anag-cw7u): staffed inpatient beds (beds) + staffed adult ICU beds (icu_beds)
# state=US year=2021 level=county week=2021-12-26
# columns: FIPS beds icu_beds n_hospitals
2448
13087 31 6 1
13089 1239 202 5
13091 24 6 1
13095 353 49 1
13097 115 20 1
13099 15 0 1
13103 25 0 1
13105 23 0 1
13107 24 6 1
13109 14 0 1
13111 28 5 1
13113 244 44 1
13115 569 67 2
13117 287 27 1
13119 61 8 1
13121 2525 468 10
13127 240 0 1
13129 82 10 1
13131 18 4 1
13133 25 0 1
13135 694 74 3
13137 48 4 1
13139 667 131 1
13143 23 0 1
13151 254 40 1
13153 251 36 2
13155 24 0 1
13159 12 0 1
13161 24 4 1
13163 21 0 1
13165 13 0 1
13173 28 0 1
13175 149 17 1
13179 23 0 1
13185 301 48 1
13187 40 0 1
13189 22 0 1
13193 39 0 1
13199 49 0 2
13201 25 0 1
13205 25 0 1
13207 25 0 1
13211 25 0 1
13213 32 0 1
13215 583 84 4
13217 84 18 1
13223 124 25 1
13225 25 0 1
13227 57 11 1
13235 17 6 1
13237 12 0 1
13241 20 4 1
13245 1195 173 4
13247 142 18 1
13251 15 0 1
13253 65 0 1
13255 145 15 1
13257 42 6 1
13261 59 8 1
13267 15 0 1
13275 180 30 1
13277 177 20 1
13279 73 8 1
13281 25 0 1
13285 122 11 1
13291 44 5 1
13293 56 7 1
13297 71 11 1
13299 128 14 1
13303 25 6 1
13305 68 9 1
13313 196 22 1
13317 19 0 1
13321 25 0 1
15001 309 24 6
15003 1763 148 11
15007 111 11 3
15009 237 20 4
16001 869 97 5
16005 165 20 1
16007 14 0 1
16009 8 0 1
16011 30 5 2
16013 25 0 1
16017 25 4 1
16019 421 40 3
16021 7 0 1
16023 14 0 1
16027 195 28 2
16029 8 0 1
16031 31 6 1
16035 20 0 1
16039 14 0 1
16041 17 0 1
16045 16 0 1
16047 16 0 1
16049 40 0 2
16053 18 0 1
16055 400 38 3
16057 19 0 1
16059 18 0 1
16065 59 4 1
16067 23 0 1
16069 61 4 1
16071 13 0 1
16077 10 0 1
16079 12 0 1
16081 10 0 1
16083 174 18 1
16085 21 0 2
16087 13 0 1
17001 327 30 1
17005 38 0 1
17011 69 6 2
17019 582 70 2
17021 38 0 2
17025 20 0 1
17027 30 0 1
17029 132 9 1
17031 13719 1565 50
17033 25 0 1
17037 165 12 3
17039 15 0 1
17043 1717 239 6
17045 25 0 1
17049 109 10 1
17051 25 0 1
17053 25 0 1
17055 16 0 1
17057 48 6 1
17061 25 0 1
17063 89 17 1
17065 25 0 1
17067 18 0 1
17069 25 0 1
17073 48 0 2
17075 25 6 1
17077 215 21 2
17081 122 20 2
17083 31 4 1
17085 13 0 1
17089 1057 98 5
17091 425 56 2
17095 85 9 2
17097 783 129 5
17099 172 16 3
17101 7 0 1
17103 94 9 1
17105 44 7 1
17107 25 0 1
17109 16 7 1
17111 387 39 2
17113 326 32 2
17115 370 33 2
17117 50 0 2
17119 393 46 5
17121 72 9 2
17125 17 0 1
17127 25 0 1
17131 22 0 1
17135 50 4 2
17137 57 10 1
17141 13 4 1
17143 1192 125 4
17145 39 0 2
17147 16 0 1
17149 25 0 1
17157 73 0 3
17159 48 8 1
17161 359 31 2
17163 461 52 3
17165 65 0 2
17167 930 130 2
17169 12 0 1
17173 30 0 1
17177 100 11 1
17179 70 8 2
17181 25 0 1
17183 155 20 2
17185 25 0 1
17187 21 0 1
17189 22 0 1
17191 25 4 1
17195 95 18 2
17197 790 90 3
17199 177 16 2
17201 844 121 3
17203 11 0 1
18001 36 6 1
18003 1464 291 6
18005 191 17 1
18009 9 0 1
18011 51 16 1
18017 25 5 1
18019 96 13 1
18021 8 0 1
18023 9 0 1
18027 69 5 1
18029 59 8 1
18031 32 0 1
18033 35 0 1
18035 301 53 2
18037 129 26 1
18039 319 36 2
18043 255 32 2
18049 51 4 1
18051 22 6 1
18053 80 13 1
18055 29 5 1
18057 433 79 5
18059 44 24 1
18061 25 4 1
18063 264 47 2
18065 57 30 1
18067 217 16 2
18069 27 0 1
18071 80 18 1
18073 12 0 1
18075 16 0 1
18077 54 6 1
18079 8 0 1
18081 50 10 1
18083 110 27 1
18085 68 9 1
18087 22 0 1
18089 1485 157 11
18091 220 30 3
18093 58 10 2
18095 289 36 3
18097 3490 502 12
18099 66 7 2
18103 35 4 1
18105 165 31 2
18107 27 5 1
18109 92 7 1
18113 27 0 1
18117 7 0 1
18123 48 4 1
18127 214 27 1
18131 16 0 1
18133 12 0 1
18135 13 0 1
18137 28 0 1
18139 25 0 1
18141 603 52 3
18143 25 0 1
18145 62 14 1
18149 13 0 1
18151 25 0 1
18153 26 4 1
18157 324 69 2
18159 12 0 1
18163 976 155 3
18165 25 4 1
18167 471 42 2
18169 17 0 1
18171 17 0 1
18173 159 0 2
18175 10 0 1
18177 231 30 1
18179 28 0 1
18181 14 0 1
18183 27 0 1
19001 4 0 1
19003 8 0 1
19005 20 0 1
19007 6 0 1
19009 12 0 1
19011 24 0 1
19013 474 35 3
19015 26 0 1
19017 41 0 2
19019 18 0 1
19021 20 0 1
19025 15 0 1
19027 52 4 2
19029 25 4 1
19033 215 18 1
19035 25 0 1
19037 13 0 1
19039 25 0 1
19041 50 4 1
19043 34 0 2
19045 128 10 2
19047 25 0 1
19049 12 0 1
19051 10 0 1
19053 11 0 1
19055 25 0 1
19057 158 13 1
19059 42 0 1
19061 281 15 3
19063 25 0 1
19065 40 0 2
19067 25 0 1
19069 10 0 1
19071 25 0 1
