# ExaEpi hospital-capacity data -- utilities/build_hospital_data.py
# source: HHS COVID-19 Hospital Capacity by Facility (anag-cw7u): staffed inpatient beds (beds) + staffed adult ICU beds (icu_beds)
# state=CA year=2021 level=county week=2021-12-26
# columns: FIPS beds icu_beds n_hospitals
55
6001 2589 242 13
6005 53 6 1
6007 445 38 3
6009 42 8 1
6011 30 0 1
6013 1182 148 7
6015 53 6 1
6017 111 10 2
6019 1633 170 8
6021 47 0 1
6023 204 21 4
6025 217 32 2
6027 29 0 2
6029 966 122 10
6031 147 13 1
6033 52 8 2
6035 25 0 1
6037 17158 1963 84
6039 80 10 1
6041 272 30 4
6043 8 0 1
6045 91 11 3
6047 227 24 2
6049 12 0 2
6051 17 0 1
6053 630 48 4
6055 124 19 2
6057 94 10 2
6059 4839 544 28
6061 814 100 3
6063 35 0 3
6065 3223 408 17
6067 2374 301 10
6069 25 4 1
6071 3172 470 20
6073 5630 596 19
6075 2106 252 10
6077 1074 115 7
6079 280 36 4
6081 626 74 6
6083 683 76 5
6085 3096 341 8
6087 279 18 3
6089 440 55 5
6093 56 8 2
6095 584 72 4
6097 554 59 6
6099 1010 102 6
6103 52 8 1
6105 25 0 1
6107 472 59 4
6109 72 6 1
6111 1079 109 8
6113 134 13 2
6115 239 24 1
