geometry_id,STATEFP,COUNTYFP,hurs,huss,model,n_observations,pr,rlds,rsds,scenario,sfcWind,tas,tasmax,tasmin,week,week_start
1592,25,1,68.2038623614189,0.0027657236230786,b'HadGEM3-GC31-LL',5,0.0002180014483713,280.2865454747127,67.1547009370266,b'ssp245',8.40264197389285,274.73776020147864,281.54226464491626,270.32934360015093,b'2014-12-30/2015-01-05',1419897600
1592,25,1,79.20448284184103,0.0027861443284317,b'HadGEM3-GC31-LL',7,0.0004687075460764,266.44024780119736,77.86601236015012,b'ssp245',11.016627246752766,271.8723722045675,283.4932903876672,254.6223537983039,b'2015-01-06/2015-01-12',1420502400
1592,25,1,74.05139713322286,0.0024119330661623,b'HadGEM3-GC31-LL',7,3.846491058748023e-05,253.453304105626,99.60015205935244,b'ssp245',6.580875504038709,271.133754052522,279.8904319665371,254.31693500127548,b'2015-01-13/2015-01-19',1421107200
1592,25,1,76.45647101873881,0.0022135480725902,b'HadGEM3-GC31-LL',7,0.0001454201173349,264.6553041052906,84.79891788129842,b'ssp245',7.677662115721476,270.0461558666858,276.9638417072785,263.2489097301777,b'2015-01-20/2015-01-26',1421712000
1592,25,1,68.21418891022931,0.0020540688064711,b'HadGEM3-GC31-LL',7,8.385637094567628e-06,239.9233467046158,126.112421303005,b'ssp245',6.766290656867482,270.330986623799,279.36938099983416,262.4734308291704,b'2015-01-27/2015-02-02',1422316800
1592,25,1,73.14485231685988,0.0032913433297525,b'HadGEM3-GC31-LL',7,0.0004084602504878,269.27252165825814,115.61890227803384,b'ssp245',7.962016882040563,275.5578107519464,284.3990471179669,264.7103432875413,b'2015-02-03/2015-02-09',1422921600
1592,25,1,63.613629849402464,0.0027939341276318,b'HadGEM3-GC31-LL',7,1.3208065948078504e-06,249.78372471847817,149.18092224973466,b'ssp245',6.847904362084667,275.22341434073536,280.4743418571276,267.6565983112042,b'2015-02-10/2015-02-16',1423526400
1592,25,1,67.71494413208177,0.0029175320405722,b'HadGEM3-GC31-LL',7,4.025100323063341e-05,242.4523394518283,156.68800395399663,b'ssp245',7.781540213050425,274.9341709849599,282.91218327253296,264.7144264808068,b'2015-02-17/2015-02-23',1424131200
1592,25,1,68.81663964868903,0.0020249922736749,b'HadGEM3-GC31-LL',7,2.3717073207129844e-06,227.89559970757904,171.77189434317006,b'ssp245',9.402976835276185,271.0455543182709,281.3160229707376,257.8223932217329,b'2015-02-24/2015-03-02',1424736000
1592,25,1,77.69052565752806,0.0033878893612251,b'HadGEM3-GC31-LL',7,0.0004194913973403,271.82503699907016,142.6954656992203,b'ssp245',9.009114981134298,274.76148405529204,284.7053666237074,266.8239022279397,b'2015-03-03/2015-03-09',1425340800
1592,25,1,81.99474226424111,0.0036919993443193,b'HadGEM3-GC31-LL',7,0.0008297154854724,281.1674864527944,127.78364706738094,b'ssp245',10.346657989498896,275.2901188986642,281.97627082237835,268.1342459947635,b'2015-03-10/2015-03-16',1425945600
1592,25,1,78.88624142028473,0.0042845935005017,b'HadGEM3-GC31-LL',7,8.031478909364099e-05,278.7305286358565,189.41351682362543,b'ssp245',6.173605038460358,278.9881094768371,283.32587129641803,273.1704480097844,b'2015-03-17/2015-03-23',1426550400
