geometry_id,STATEFP,COUNTYFP,hurs,huss,model,n_observations,pr,rlds,rsds,scenario,sfcWind,tas,tasmax,tasmin,week,week_start
1208,6,1,87.08145979917967,0.0053431721690195,b'HadGEM3-GC31-LL',5,0.0006385706032878,286.43237089010387,88.85532103501833,b'ssp245',4.401905255191601,280.24164669330304,284.0998824192927,275.5964559041537,b'2014-12-30/2015-01-05',1419897600
1208,6,1,87.04655264236114,0.0062778645571977,b'HadGEM3-GC31-LL',7,0.0001619471852291,284.37691202268496,106.17483714517655,b'ssp245',3.0173029124450226,283.0602134191073,287.34412017235394,276.498324907743,b'2015-01-06/2015-01-12',1420502400
1208,6,1,87.9486698108715,0.007119648493644,b'HadGEM3-GC31-LL',7,0.0002392460604533,285.6803420009194,113.64965826338464,b'ssp245',3.802207097083657,284.4041389109014,288.6635199326735,278.91920416171735,b'2015-01-13/2015-01-19',1421107200
1208,6,1,86.28451520532042,0.0069071608741068,b'HadGEM3-GC31-LL',7,0.0001614313618164,277.04486439254254,124.80209646906172,b'ssp245',2.411066144254509,284.2445897951231,289.70351164157574,278.5944676399231,b'2015-01-20/2015-01-26',1421712000
1208,6,1,89.49396209664397,0.0066844404536423,b'HadGEM3-GC31-LL',7,0.0001422465820644,291.0929151524554,122.14579936698244,b'ssp245',2.837692455890088,282.8989356638311,286.3582741297208,279.3349091456487,b'2015-01-27/2015-02-02',1422316800
1208,6,1,80.67818262288858,0.0062350943007513,b'HadGEM3-GC31-LL',7,2.8903238330576416e-05,265.7633852539482,162.70605831617837,b'ssp245',2.960103648172302,283.5542914107606,291.50160323656524,275.7529649734497,b'2015-02-03/2015-02-09',1422921600
1208,6,1,89.22054343826167,0.0078481374500999,b'HadGEM3-GC31-LL',7,0.0003184813919562,291.1635093269767,140.0014391862429,b'ssp245',2.979177650555477,285.48197859984174,292.27860337037305,278.7709762499882,b'2015-02-10/2015-02-16',1423526400
1208,6,1,85.2727252808246,0.0067601247220798,b'HadGEM3-GC31-LL',7,0.0001435479591676,276.47769326954096,171.11411109861436,b'ssp245',3.1890247982855024,284.11793043325235,289.41906888668353,277.0995993980995,b'2015-02-17/2015-02-23',1424131200
1208,6,1,82.29614250607541,0.0070035581213612,b'HadGEM3-GC31-LL',7,2.0811262743883126e-06,268.8414660836314,200.8398171754984,b'ssp245',2.4726874894247604,284.99766716066296,291.1963503177349,276.7991989575899,b'2015-02-24/2015-03-02',1424736000
1208,6,1,82.98052368845258,0.0079743100448887,b'HadGEM3-GC31-LL',7,0.0001367718470215,281.13106909165015,194.5818417963091,b'ssp245',2.733271720194882,286.9888951123416,293.82997450461755,279.15604000825147,b'2015-03-03/2015-03-09',1425340800
1208,6,1,90.13657763633098,0.008707332376846,b'HadGEM3-GC31-LL',7,0.0004868532842874,295.77625368453647,187.377818276594,b'ssp245',3.123744943803483,286.9493552407065,292.1529637850248,280.9795519021841,b'2015-03-10/2015-03-16',1425945600
1208,6,1,88.83737198730091,0.0080591681754602,b'HadGEM3-GC31-LL',7,0.0004650807243599,293.5418829393911,202.2678297116206,b'ssp245',3.081181232786768,285.80074526713446,290.9420201595013,279.9189948668847,b'2015-03-17/2015-03-23',1426550400
1208,6,1,88.9840091742002,0.0083028678000318,b'HadGEM3-GC31-LL',7,0.0006853470218855,295.6722060507471,216.31411862635352,b'ssp245',3.5555291456671867,286.32160830235745,293.34780179537256,279.46720449741065,b'2015-03-24/2015-03-30',1427155200
1208,6,1,88.67894912683047,0.0080979222063662,b'HadGEM3-GC31-LL',7,0.0005228583685888,295.7653803144182,222.2789639483441,b'ssp245',3.0425660459140498,285.75701208429024,292.66563305488,279.2894330758315,b'2015-03-31/2015-04-06',1427760000
1208,6,1,86.09309643703502,0.0069582099462782,b'HadGEM3-GC31-LL',7,0.000783292777743,283.3285157025516,238.8809055338849,b'ssp245',3.4120828032002346,283.59850986187274,292.008401283851,277.2831170742328,b'2015-04-07/2015-04-13',1428364800
1208,6,1,79.54328806845696,0.0066291200793264,b'HadGEM3-GC31-LL',7,0.0001717547033674,278.93534863650143,266.145985519493,b'ssp245',2.3915295339711418,283.8398492624471,292.45103927759027,276.5071835151086,b'2015-04-14/2015-04-20',1428969600
1208,6,1,86.62644862997664,0.0090009866804133,b'HadGEM3-GC31-LL',7,0.0002105942217632,299.23726420350124,272.90639147653684,b'ssp245',2.0989313802098506,288.1369105066572,294.91527062196,281.1169278438275,b'2015-04-21/2015-04-27',1429574400
1208,6,1,81.8792895078659,0.0080492969388544,b'HadGEM3-GC31-LL',7,9.503307432873624e-05,289.1190504503774,299.8352471288744,b'ssp245',3.0615174243902112,286.74579486742124,293.4926075201768,280.9241752257713,b'2015-04-28/2015-05-04',1430179200
1208,6,1,86.1774134531126,0.0105968579917935,b'HadGEM3-GC31-LL',7,1.608051992886016e-05,314.9674057174515,290.23799844102547,b'ssp245',3.2038390854639665,290.65396785736084,298.12739665691674,285.0320235765897,b'2015-05-05/2015-05-11',1430784000
1208,6,1,80.85004276364714,0.0086482794908838,b'HadGEM3-GC31-LL',7,5.866588621568251e-05,301.69870508110125,306.1245038011572,b'ssp245',2.8075381465419964,288.0395405633109,294.8428542430584,281.3309734417841,b'2015-05-12/2015-05-18',1431388800
1208,6,1,81.22742799481192,0.0107021775844398,b'HadGEM3-GC31-LL',7,6.135149791684459e-06,313.8280760586917,317.0786889961788,b'ssp245',3.631214930379129,291.330484012981,297.1400018471938,284.99933921373804,b'2015-05-19/2015-05-25',1431993600
