131 15920
ALB MFE 130
ALB MFR 260
ALB MKE-MS 1500
ALB MOB 540
ALB MOT 70
ALB MSO 350
ALB MSP 5000
ALB MSY 3670
ALB MYR 4180
ALB OAK 1510
ALB OGG 230
ALB OKC 1430
ALB OMA 1530
ALB ONT 1000
ALB ORD-MDW 17180
ALB ORF 2760
ALB PBI 7690
ALB PDX 3480
ALB PHL 470
ALB PHX 10600
ALB PIT 2720
ALB PNS 1100
ALB PSP 710
ALB RAP 370
ALB RDU 6620
ALB RIC 1060
ALB RNO 740
ALB ROA 300
ALB ROC 10
ALB RSW 14330
ALB SAN 6700
ALB SAT 3280
ALB SAV 2040
ALB SBA 210
ALB SDF 1660
ALB SEA 5810
ALB SFO 7450
ALB SGF 440
ALB SHV 180
ALB SJC 1480
ALB SLC 4990
ALB SMF 2410
ALB SNA-LGB 1760
ALB SRQ 2210
ALB STL 3480
ALB TLH 640
ALB TPA 21670
ALB TUL 700
ALB TUS 1850
ALB TYS 910
ALB VPS 710
ALB XNA 480
ALB XWA 30
AMA AEX 120
AMA ALB 170
AMA ANC 270
AMA ATL 3270
AMA ATW 80
AMA AUS 6570
AMA BDL 180
AMA BGR 70
AMA BHM 730
AMA BIL 250
AMA BIS 150
AMA BNA 2440
AMA BOI 910
AMA BOS 680
AMA BTV 130
AMA BWI 1260
AMA BZN 290
AMA CAE 460
AMA CAK 70
AMA CHS 550
AMA CLE 610
AMA CLT 1520
AMA CMH 620
AMA COS 30
AMA CRP 900
AMA CRW 30
AMA CVG 350
AMA DAY 290
AMA DCA-IAD 2080
AMA DEN 2060
AMA DFW-DAL 32470
AMA DIK 50
AMA DSM 640
AMA DTW 950
AMA ECP 1460
AMA ELP 10
AMA EWR 560
AMA FAI 100
AMA FAR 300
AMA FAT 760
AMA FCA 140
AMA FLL-MIA 2450
AMA FSD 400
AMA FWA 120
AMA GEG 410
AMA GRR 410
AMA GSO 150
AMA GTF 40
AMA HNL 170
AMA HOU-IAH 17220
AMA HRL 470
AMA IDA 130
AMA ILM 170
AMA IND 980
AMA JAN 210
AMA JAX 820
AMA JFK-LGA 1390
AMA JNU 20
