fipstate,naics,emp,est,n<5,e<5,n5_9,e5_9,n10_19,e10_19,n20_49,e20_49,n50_99,e50_99,n100_249,e100_249,n250_499,e250_499,n500_999,e500_999,n1000,e1000
01,221117,39,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,22112,9797,194,42,103,33,236,37,518,42,1379,28,1988,6,984,3,1223,0,0,0,0
01,221121,119,8,3,9,0,0,0,0,3,93,0,0,0,0,0,0,0,0,0,0
01,221122,9678,186,39,94,32,231,36,506,39,1286,28,1988,6,984,3,1223,0,0,0,0
01,2212,1198,26,3,7,6,48,4,61,6,192,4,292,3,598,0,0,0,0,0,0
01,22121,1198,26,3,7,6,48,4,61,6,192,4,292,3,598,0,0,0,0,0,0
01,221210,1198,26,3,7,6,48,4,61,6,192,4,292,3,598,0,0,0,0,0,0
01,2213,757,73,31,72,31,214,7,91,0,0,0,0,0,0,0,0,0,0,0,0
01,22131,396,59,23,53,30,207,4,48,0,0,0,0,0,0,0,0,0,0,0,0
01,221310,396,59,23,53,30,207,4,48,0,0,0,0,0,0,0,0,0,0,0,0
01,22132,348,13,8,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,221320,348,13,8,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,23,91457,7792,4411,7674,1438,9552,970,13189,680,20161,176,12037,91,13363,15,5362,7,4358,4,5761
01,236,20750,2155,1382,2211,360,2387,208,2793,143,4102,41,2774,15,2325,0,0,0,0,0,0
01,2361,6626,1477,1118,1721,208,1383,95,1238,45,1332,8,469,3,483,0,0,0,0,0,0
01,23611,6626,1477,1118,1721,208,1383,95,1238,45,1332,8,469,3,483,0,0,0,0,0,0
01,236115,1604,457,359,578,72,470,18,238,6,157,0,0,0,0,0,0,0,0,0,0
01,236116,692,36,14,33,6,41,7,88,6,177,0,0,0,0,0,0,0,0,0,0
01,236117,1458,188,127,215,29,193,10,136,17,551,4,239,0,0,0,0,0,0,0,0
01,236118,2872,796,618,895,101,679,60,776,16,447,0,0,0,0,0,0,0,0,0,0
01,2362,14124,678,264,490,152,1004,113,1555,98,2770,33,2305,12,1842,0,0,0,0,0,0
01,23621,3295,78,19,44,16,111,15,192,15,467,9,669,3,568,0,0,0,0,0,0
01,236210,3295,78,19,44,16,111,15,192,15,467,9,669,3,568,0,0,0,0,0,0
01,23622,10829,600,245,446,136,893,98,1363,83,2303,24,1636,9,1274,0,0,0,0,0,0
01,236220,10829,600,245,446,136,893,98,1363,83,2303,24,1636,9,1274,0,0,0,0,0,0
01,237,14408,606,242,419,123,850,112,1528,72,2316,29,1949,23,3338,3,943,0,0,0,0
01,2371,7710,265,93,174,60,388,51,703,37,1239,14,937,7,1159,0,0,0,0,0,0
01,23711,1631,132,52,104,33,221,25,342,14,445,8,519,0,0,0,0,0,0,0,0
01,237110,1631,132,52,104,33,221,25,342,14,445,8,519,0,0,0,0,0,0,0,0
01,23712,3773,34,7,8,7,45,7,88,5,164,3,191,3,500,0,0,0,0,0,0
01,237120,3773,34,7,8,7,45,7,88,5,164,3,191,3,500,0,0,0,0,0,0
01,23713,2306,99,34,62,20,122,19,273,18,630,3,227,4,659,0,0,0,0,0,0
01,237130,2306,99,34,62,20,122,19,273,18,630,3,227,4,659,0,0,0,0,0,0
01,2372,292,84,68,113,11,76,4,44,0,0,0,0,0,0,0,0,0,0,0,0
01,23721,292,84,68,113,11,76,4,44,0,0,0,0,0,0,0,0,0,0,0,0
01,237210,292,84,68,113,11,76,4,44,0,0,0,0,0,0,0,0,0,0,0,0
01,2373,4894,172,44,64,35,256,39,539,25,767,12,819,16,2179,0,0,0,0,0,0
01,23731,4894,172,44,64,35,256,39,539,25,767,12,819,16,2179,0,0,0,0,0,0
01,237310,4894,172,44,64,35,256,39,539,25,767,12,819,16,2179,0,0,0,0,0,0
01,2379,1512,85,37,68,17,130,18,242,10,310,0,0,0,0,0,0,0,0,0,0
01,23799,1512,85,37,68,17,130,18,242,10,310,0,0,0,0,0,0,0,0,0,0
01,237990,1512,85,37,68,17,130,18,242,10,310,0,0,0,0,0,0,0,0,0,0
01,238,56299,5031,2787,5044,955,6315,650,8868,465,13743,106,7314,53,7700,10,3669,4,2546,0,0
01,2381,9271,894,519,888,184,1189,96,1290,70,2023,14,997,8,1276,0,0,0,0,0,0
01,23811,1912,192,98,186,45,293,24,313,19,569,4,262,0,0,0,0,0,0,0,0
01,238110,1912,192,98,186,45,293,24,313,19,569,4,262,0,0,0,0,0,0,0,0
01,23812,1739,55,21,36,13,85,8,122,10,246,0,0,0,0,0,0,0,0,0,0
01,238120,1739,55,21,36,13,85,8,122,10,246,0,0,0,0,0,0,0,0,0,0
01,23813,244,86,67,108,16,95,3,41,0,0,0,0,0,0,0,0,0,0,0,0
01,238130,244,86,67,108,16,95,3,41,0,0,0,0,0,0,0,0,0,0,0,0
01,23814,1639,151,92,131,29,185,16,206,7,169,3,232,3,449,0,0,0,0,0,0
01,238140,1639,151,92,131,29,185,16,206,7,169,3,232,3,449,0,0,0,0,0,0
01,23815,914,69,36,69,13,91,10,138,7,190,0,0,0,0,0,0,0,0,0,0
01,238150,914,69,36,69,13,91,10,138,7,190,0,0,0,0,0,0,0,0,0,0
