6001	6001	2542134
6001	6013	61970
6001	6041	4267
6001	6055	1438
6001	6075	69801
6001	6081	40262
6001	6085	65176
6001	6095	4635
6001	6097	2991
6013	6001	106763
6013	6013	1825889
6013	6041	7320
6013	6055	1471
6013	6075	38457
6013	6081	15015
6013	6085	9557
6013	6095	9229
6013	6097	2140
6041	6001	5662
6041	6013	4584
6041	6041	426215
6041	6055	1167
6041	6075	23158
6041	6081	5173
6041	6085	2051
6041	6095	2033
6041	6097	10876
6055	6001	1585
6055	6013	2403
6055	6041	1361
6055	6055	230209
6055	6075	1734
6055	6081	901
6055	6085	587
6055	6095	14195
6055	6097	5545
6075	6001	23653
6075	6013	9570
6075	6041	8748
6075	6055	1484
6075	6075	1280175
6075	6081	99334
6075	6085	14940
6075	6095	2368
6075	6097	4246
6081	6001	15411
6081	6013	4189
6081	6041	1410
6081	6055	724
6081	6075	84098
6081	6081	1251059
6081	6085	68508
6081	6095	1673
6081	6097	1246
6085	6001	48465
6085	6013	6681
6085	6041	1249
6085	6055	1155
6085	6075	19597
6085	6081	55004
6085	6085	3278183
6085	6095	2212
6085	6097	1664
6095	6001	6013
6095	6013	18658
6095	6041	1978
6095	6055	13431
6095	6075	4862
6095	6081	2133
6095	6085	1384
6095	6095	699073
6095	6097	1621
6097	6001	3522
6097	6013	2141
6097	6041	16009
6097	6055	5448
6097	6075	6299
6097	6081	2683
6097	6085	2180
6097	6095	2050
6097	6097	903873
